Nama Sekolah,Alamat,Daerah,Kota,Jenis Sekolah,Tipe Sekolah,Kurikulum,Anggaran SPP (Rp),Biaya Masuk (Rp),Bahasa Pengantar,Akreditasi,Fasilitas,Ekskul,Pendidikan Agama,Prestasi,Transportasi,No Telepon,content,score,Website
SMA Nusantara 41,Jl. Merdeka No.10,Cengkareng,Jakarta Barat,SMA,Internasional,Cambridge,379940,18792490,Bahasa Inggris,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Bus Sekolah,0274-998877,"yogyakarta jawa barat sd internasional c lab komputer, perpustakaan, lapangan basket, pramuka, musik islam 379940 18792490",0.114345542,www.smanusantara41.sch.id
SD Bintang Timur 279,Jl. Merdeka No.10,Cakung,Jakarta Timur,SD,Internasional,Cambridge,793091,13080162,Bahasa Inggris,A,"Kolam Renang, Aula","Futsal, Tari, Robotik",Budha,Lomba Tari Provinsi,Bus Sekolah,021-1234567,"yogyakarta bali sma internasional a kolam renang, aula futsal, tari, robotik budha 793091 13080162",0.021902,www.sdbintangtimur279.sch.id
Sekolah Harapan Bangsa 46,Jl. Merdeka No.10,Kebon Jeruk,Jakarta Barat,SMA,Internasional,Cambridge,1804872,7801430,Mandarin,C,"Kolam Renang, Aula","Pencak Silat, KIR",Hindu,Debat Nasional,Tidak Ada,022-7654321,"surabaya jawa timur smp internasional c kolam renang, aula pencak silat, kir hindu 1804872 7801430",0,www.sekolahharapanbangsa46.sch.id
TK Ceria 30,Jl. Mawar No.2,Jagakarsa,Jakarta Selatan,TK,Nasional Plus,Cambridge,1594269,18995866,Mandarin,C,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Hindu,Olimpiade Matematika,Bus Sekolah,031-8765432,"denpasar jawa timur smp nasional plus c ruang musik, ruang seni pencak silat, kir hindu 1594269 18995866",0,www.tkceria30.sch.id
SD Bintang Timur 251,Jl. Merdeka No.10,Pasar Rebo,Jakarta Timur,SD,Nasional Plus,IB,182570,6850226,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Kristen,Olimpiade Matematika,Tidak Ada,0274-998877,"jakarta selatan jawa barat sd nasional plus b ruang musik, ruang seni futsal, tari, robotik kristen 182570 6850226",0.014966626,www.sdbintangtimur251.sch.id
SMP Pelita Ilmu 85,Jl. Merdeka No.10,Kebayoran Baru,Jakarta Selatan,SMP,Nasional,Kurikulum 2013,718600,987115,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Tidak Ada,0274-998877,"jakarta selatan bali sd nasional b ruang musik, ruang seni basket, pramuka, musik islam 718600 987115",0.076774641,www.smppelitailmu85.sch.id
SMP Pelita Ilmu 220,Jl. Gatot Subroto No.15,Johar Baru,Jakarta Pusat,SMP,Nasional Plus,Cambridge,2707184,19880119,Mandarin,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Tidak Ada,Debat Nasional,Bus Sekolah,022-7654321,"bandung dki jakarta smp nasional plus b ruang musik, ruang seni futsal, tari, robotik tidak ada 2707184 19880119",0.038980185,www.smppelitailmu220.sch.id
SD Bintang Timur 268,Jl. Mawar No.2,Kebon Jeruk,Jakarta Barat,SD,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Islam,Olimpiade Matematika,Antar Jemput Pribadi,0361-556677,"yogyakarta bali tk negeri c ruang musik, ruang seni pencak silat, kir tidak ada 1212339 4694050",0,www.sdbintangtimur268.sch.id
SMP Pelita Ilmu 36,Jl. Sudirman No.25,Matraman,Jakarta Timur,SMP,Nasional Plus,Cambridge,545395,12588499,Mandarin,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Tidak Ada,Debat Nasional,Bus Sekolah,031-8765432,"surabaya dki jakarta sma nasional plus b lab komputer, perpustakaan, lapangan futsal, tari, robotik tidak ada 545395 12588499",0.108963085,www.smppelitailmu36.sch.id
SMP Pelita Ilmu 161,Jl. Sudirman No.25,Tambora,Jakarta Barat,SMP,Internasional,IB,911569,8712269,Mandarin,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Hindu,Lomba Tari Provinsi,Tidak Ada,021-1234567,"yogyakarta jawa barat tk internasional c kolam renang, aula futsal, tari, robotik hindu 911569 8712269",0,www.smppelitailmu161.sch.id
SD Bintang Timur 34,Jl. Sudirman No.25,Setiabudi,Jakarta Selatan,SD,Nasional Plus,Kurikulum 2013,2176310,10549391,Jepang,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Kristen,Olimpiade Matematika,Bus Sekolah,0274-998877,"surabaya dki jakarta sd nasional plus b lab komputer, perpustakaan, lapangan pencak silat, kir kristen 2176310 10549391",0.090079067,www.sdbintangtimur34.sch.id
SD Bintang Timur 125,Jl. Sudirman No.25,Johar Baru,Jakarta Pusat,SD,Internasional,Cambridge,315052,3931816,Bahasa Inggris,C,"Kolam Renang, Aula","Pencak Silat, KIR",Hindu,Juara 1 OSN,Tidak Ada,0274-998877,"surabaya di yogyakarta sma internasional c kolam renang, aula pencak silat, kir hindu 315052 3931816",0.02147456,www.sdbintangtimur125.sch.id
Sekolah Harapan Bangsa 1,Jl. Gatot Subroto No.15,Cipayung,Jakarta Timur,SD,Nasional Plus,Kurikulum 2013,2488241,9501221,Jepang,A,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Olimpiade Matematika,Bus Sekolah,0361-556677,"yogyakarta bali sma nasional plus a kolam renang, aula futsal, tari, robotik islam 2488241 9501221",0.051607413,www.sekolahharapanbangsa1.sch.id
Sekolah Harapan Bangsa 241,Jl. Gatot Subroto No.15,Kebon Jeruk,Jakarta Barat,SD,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,0274-998877,"jakarta selatan di yogyakarta tk negeri b kolam renang, aula futsal, tari, robotik katolik 2721991 4651941",0.01548321,www.sekolahharapanbangsa241.sch.id
Sekolah Harapan Bangsa 203,Jl. Mawar No.2,Pademangan,Jakarta Utara,SMP,Nasional,Kurikulum Merdeka,2693336,14289244,Jepang,A,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Katolik,Lomba Tari Provinsi,Antar Jemput Pribadi,0361-556677,"bandung dki jakarta sma nasional a lab komputer, perpustakaan, lapangan futsal, tari, robotik katolik 2693336 14289244",0.112738774,www.sekolahharapanbangsa203.sch.id
TK Ceria 243,Jl. Raya Ujung,Tanjung Priok,Jakarta Utara,TK,Nasional Plus,IB,2067916,3219997,Bahasa Indonesia,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Islam,Olimpiade Matematika,Tidak Ada,031-8765432,"bandung jawa barat sd nasional plus b kolam renang, aula futsal, tari, robotik islam 2067916 3219997",0.029384621,www.tkceria243.sch.id
TK Ceria 271,Jl. Raya Ujung,Kramat Jati,Jakarta Timur,TK,Nasional Plus,IB,949531,19265419,Jepang,A,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Budha,Debat Nasional,Bus Sekolah,031-8765432,"jakarta selatan jawa barat smp nasional plus a ruang musik, ruang seni basket, pramuka, musik budha 949531 19265419",0.046895688,www.tkceria271.sch.id
SD Bintang Timur 128,Jl. Merdeka No.10,Menteng,Jakarta Pusat,SD,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Islam,Juara 1 OSN,Antar Jemput Pribadi,031-8765432,"bandung di yogyakarta sd negeri c ruang musik, ruang seni futsal, tari, robotik islam 1926419 5444510",0.028712041,www.sdbintangtimur128.sch.id
SMA Nusantara 215,Jl. Gatot Subroto No.15,Pasar Rebo,Jakarta Timur,SMA,Internasional,IB,297303,5025411,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Tidak Ada,Lomba Tari Provinsi,Tidak Ada,021-1234567,"yogyakarta di yogyakarta sd internasional b ruang musik, ruang seni pencak silat, kir tidak ada 297303 5025411",0,www.smanusantara215.sch.id
TK Ceria 32,Jl. Raya Ujung,Senen,Jakarta Pusat,TK,Internasional,IB,465121,12317078,Mandarin,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Budha,Lomba Tari Provinsi,Tidak Ada,022-7654321,"yogyakarta di yogyakarta smp internasional b kolam renang, aula futsal, tari, robotik budha 465121 12317078",0,www.tkceria32.sch.id
SD Bintang Timur 48,Jl. Raya Ujung,Kembangan,Jakarta Barat,SD,Internasional,IB,1193350,10062744,Bahasa Inggris,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Budha,Juara 1 OSN,Tidak Ada,031-8765432,"jakarta selatan jawa barat sd internasional a lab komputer, perpustakaan, lapangan basket, pramuka, musik budha 1193350 10062744",0.098569857,www.sdbintangtimur48.sch.id
TK Ceria 149,Jl. Mawar No.2,Cilincing,Jakarta Utara,TK,Nasional Plus,IB,1941911,1481735,Bahasa Indonesia,B,"Kolam Renang, Aula","Basket, Pramuka, Musik",Katolik,Lomba Tari Provinsi,Antar Jemput Pribadi,0361-556677,"bandung bali sd nasional plus b kolam renang, aula basket, pramuka, musik katolik 1941911 1481735",0.034105049,www.tkceria149.sch.id
TK Ceria 11,Jl. Raya Ujung,Kelapa Dua,Jakarta Barat,TK,Nasional,IB,184364,1210647,Jepang,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Kristen,Juara 1 OSN,Bus Sekolah,0361-556677,"surabaya di yogyakarta sd nasional b ruang musik, ruang seni futsal, tari, robotik kristen 184364 1210647",0,www.tkceria11.sch.id
Sekolah Harapan Bangsa 122,Jl. Gatot Subroto No.15,Cilincing,Jakarta Utara,SD,Nasional Plus,Kurikulum Merdeka,105024,16454842,Bahasa Inggris,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Kristen,Debat Nasional,Bus Sekolah,021-1234567,"bandung bali smp nasional plus c lab komputer, perpustakaan, lapangan basket, pramuka, musik kristen 105024 16454842",0.083930332,www.sekolahharapanbangsa122.sch.id
TK Ceria 92,Jl. Gatot Subroto No.15,Setiabudi,Jakarta Selatan,TK,Internasional,IB,2460932,11690343,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Budha,Debat Nasional,Bus Sekolah,0274-998877,"yogyakarta jawa barat sma internasional c ruang musik, ruang seni basket, pramuka, musik budha 2460932 11690343",0.053753499,www.tkceria92.sch.id
TK Ceria 12,Jl. Merdeka No.10,Tebet,Jakarta Selatan,TK,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Olimpiade Matematika,Bus Sekolah,021-1234567,"yogyakarta dki jakarta sma negeri c kolam renang, aula pencak silat, kir islam 510969 14220752",0.093078462,www.tkceria12.sch.id
TK Ceria 19,Jl. Raya Ujung,Pasar Rebo,Jakarta Timur,TK,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,A,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Bus Sekolah,031-8765432,"denpasar bali sd negeri a lab komputer, perpustakaan, lapangan basket, pramuka, musik hindu 2518680 10080748",0.084832407,www.tkceria19.sch.id
SMP Pelita Ilmu 29,Jl. Merdeka No.10,Cilincing,Jakarta Utara,SMP,Nasional Plus,IB,1041634,3886513,Mandarin,B,"Ruang Musik, Ruang Seni","Pencak Silat, KIR",Budha,Juara 1 OSN,Antar Jemput Pribadi,0274-998877,"jakarta selatan jawa timur smp nasional plus b ruang musik, ruang seni pencak silat, kir budha 1041634 3886513",0.01494736,www.smppelitailmu29.sch.id
SMA Nusantara 212,Jl. Raya Ujung,Pasar Rebo,Jakarta Timur,SMA,Nasional Plus,Kurikulum 2013,952825,16768048,Jepang,A,"Kolam Renang, Aula","Pencak Silat, KIR",Tidak Ada,Lomba Tari Provinsi,Tidak Ada,022-7654321,"surabaya jawa barat sma nasional plus a kolam renang, aula pencak silat, kir tidak ada 952825 16768048",0.020900112,www.smanusantara212.sch.id
Sekolah Harapan Bangsa 38,Jl. Merdeka No.10,Jatinegara,Jakarta Timur,SMP,Nasional,Kurikulum 2013,1227632,7556950,Mandarin,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Debat Nasional,Tidak Ada,0361-556677,"surabaya jawa barat smp nasional c lab komputer, perpustakaan, lapangan pencak silat, kir islam 1227632 7556950",0.07986988,www.sekolahharapanbangsa38.sch.id
SMP Pelita Ilmu 209,Jl. Gatot Subroto No.15,Jagakarsa,Jakarta Selatan,SMP,Nasional,Kurikulum 2013,2647770,12341099,Bahasa Inggris,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Tidak Ada,Olimpiade Matematika,Bus Sekolah,022-7654321,"jakarta selatan dki jakarta sma nasional c kolam renang, aula futsal, tari, robotik tidak ada 2647770 12341099",0.07500112,www.smppelitailmu209.sch.id
SMP Pelita Ilmu 104,Jl. Gatot Subroto No.15,Jagakarsa,Jakarta Selatan,SMP,Nasional Plus,Kurikulum 2013,1008139,18715777,Bahasa Indonesia,B,"Kolam Renang, Aula","Basket, Pramuka, Musik",Hindu,Debat Nasional,Antar Jemput Pribadi,0274-998877,"denpasar bali sd nasional plus b kolam renang, aula basket, pramuka, musik hindu 1008139 18715777",0.034127013,www.smppelitailmu104.sch.id
SD Bintang Timur 5,Jl. Mawar No.2,Grogol Petamburan,Jakarta Barat,SD,Internasional,IB,1344172,6429173,Bahasa Inggris,A,"Kolam Renang, Aula","Futsal, Tari, Robotik",Hindu,Olimpiade Matematika,Bus Sekolah,0361-556677,"yogyakarta bali sd internasional a kolam renang, aula futsal, tari, robotik hindu 1344172 6429173",0,www.sdbintangtimur5.sch.id
SD Bintang Timur 88,Jl. Mawar No.2,Taman Sari,Jakarta Barat,SD,Nasional,Kurikulum 2013,408969,4599195,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Juara 1 OSN,Antar Jemput Pribadi,0274-998877,"jakarta selatan di yogyakarta smp nasional c lab komputer, perpustakaan, lapangan futsal, tari, robotik islam 408969 4599195",0.094210703,www.sdbintangtimur88.sch.id
SMA Nusantara 102,Jl. Raya Ujung,Senen,Jakarta Pusat,SMA,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,022-7654321,"surabaya dki jakarta sma negeri c lab komputer, perpustakaan, lapangan pencak silat, kir kristen 2494886 9493000",0.112007881,www.smanusantara102.sch.id
SMA Nusantara 147,Jl. Gatot Subroto No.15,Pademangan,Jakarta Utara,SMA,Nasional Plus,IB,511923,13738126,Bahasa Indonesia,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Budha,Lomba Tari Provinsi,Tidak Ada,021-1234567,"yogyakarta jawa timur smp nasional plus b kolam renang, aula futsal, tari, robotik budha 511923 13738126",0,www.smanusantara147.sch.id
TK Ceria 154,Jl. Mawar No.2,Pademangan,Jakarta Utara,TK,Nasional Plus,Kurikulum 2013,1518614,15310797,Bahasa Inggris,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Tidak Ada,Juara 1 OSN,Tidak Ada,031-8765432,"bandung bali tk nasional plus c kolam renang, aula basket, pramuka, musik tidak ada 1518614 15310797",0.033353138,www.tkceria154.sch.id
Sekolah Harapan Bangsa 117,Jl. Mawar No.2,Mampang Prapatan,Jakarta Selatan,SD,Nasional Plus,Cambridge,1926099,4853563,Bahasa Inggris,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Katolik,Debat Nasional,Bus Sekolah,022-7654321,"yogyakarta bali smp nasional plus c kolam renang, aula basket, pramuka, musik katolik 1926099 4853563",0.034346007,www.sekolahharapanbangsa117.sch.id
SMA Nusantara 157,Jl. Raya Ujung,Cipayung,Jakarta Timur,SMA,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Debat Nasional,Bus Sekolah,0361-556677,"surabaya bali tk negeri b lab komputer, perpustakaan, lapangan futsal, tari, robotik tidak ada 1442919 16084908",0.049458096,www.smanusantara157.sch.id
SD Bintang Timur 225,Jl. Sudirman No.25,Gambir,Jakarta Pusat,SD,Nasional Plus,Kurikulum Merdeka,2157065,13945456,Jepang,B,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Budha,Debat Nasional,Antar Jemput Pribadi,031-8765432,"denpasar jawa timur sma nasional plus b lab komputer, perpustakaan, lapangan pencak silat, kir budha 2157065 13945456",0.070638215,www.sdbintangtimur225.sch.id
Sekolah Harapan Bangsa 160,Jl. Gatot Subroto No.15,Pasar Minggu,Jakarta Selatan,SD,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Islam,Lomba Tari Provinsi,Bus Sekolah,031-8765432,"yogyakarta dki jakarta smp negeri b lab komputer, perpustakaan, lapangan futsal, tari, robotik tidak ada 2808231 5307341",0.089532965,www.sekolahharapanbangsa160.sch.id
Sekolah Harapan Bangsa 66,Jl. Mawar No.2,Mampang Prapatan,Jakarta Selatan,SD,Nasional,Kurikulum 2013,1564997,14917667,Bahasa Indonesia,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Hindu,Juara 1 OSN,Antar Jemput Pribadi,0274-998877,"surabaya di yogyakarta tk nasional c kolam renang, aula basket, pramuka, musik hindu 1564997 14917667",0.034181717,www.sekolahharapanbangsa66.sch.id
SMP Pelita Ilmu 42,Jl. Sudirman No.25,Grogol Petamburan,Jakarta Barat,SMP,Nasional,Kurikulum Merdeka,2275306,18989839,Mandarin,C,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Budha,Juara 1 OSN,Antar Jemput Pribadi,0361-556677,"jakarta selatan jawa barat smp nasional c lab komputer, perpustakaan, lapangan futsal, tari, robotik budha 2275306 18989839",0.065237633,www.smppelitailmu42.sch.id
TK Ceria 121,Jl. Sudirman No.25,Penjaringan,Jakarta Utara,TK,Nasional,Kurikulum Merdeka,563744,2856541,Mandarin,C,"Kolam Renang, Aula","Pencak Silat, KIR",Katolik,Olimpiade Matematika,Tidak Ada,022-7654321,"bandung jawa timur tk nasional c kolam renang, aula pencak silat, kir katolik 563744 2856541",0,www.tkceria121.sch.id
SMA Nusantara 129,Jl. Gatot Subroto No.15,Pancoran,Jakarta Selatan,SMA,Nasional Plus,Kurikulum Merdeka,1703621,10292964,Bahasa Indonesia,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Katolik,Juara 1 OSN,Antar Jemput Pribadi,021-1234567,"yogyakarta di yogyakarta smp nasional plus b ruang musik, ruang seni futsal, tari, robotik katolik 1703621 10292964",0,www.smanusantara129.sch.id
SMA Nusantara 172,Jl. Sudirman No.25,Grogol Petamburan,Jakarta Barat,SMA,Internasional,Cambridge,2128849,8871896,Bahasa Inggris,C,"Lab Komputer, Perpustakaan, Lapangan","Basket, Pramuka, Musik",Islam,Olimpiade Matematika,Antar Jemput Pribadi,0361-556677,"surabaya dki jakarta sma internasional c lab komputer, perpustakaan, lapangan basket, pramuka, musik islam 2128849 8871896",0.175853377,www.smanusantara172.sch.id
SD Bintang Timur 17,Jl. Gatot Subroto No.15,Kelapa Dua,Jakarta Barat,SD,Nasional Plus,Kurikulum 2013,1363474,5164833,Bahasa Inggris,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Tidak Ada,Olimpiade Matematika,Bus Sekolah,021-1234567,"jakarta selatan bali smp nasional plus b ruang musik, ruang seni futsal, tari, robotik tidak ada 1363474 5164833",0.014818435,www.sdbintangtimur17.sch.id
TK Ceria 64,Jl. Mawar No.2,Cengkareng,Jakarta Barat,TK,Nasional Plus,IB,1632048,14691798,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Budha,Debat Nasional,Tidak Ada,021-1234567,"bandung dki jakarta smp nasional plus c ruang musik, ruang seni basket, pramuka, musik budha 1632048 14691798",0.071763578,www.tkceria64.sch.id
SD Bintang Timur 177,Jl. Sudirman No.25,Kebon Jeruk,Jakarta Barat,SD,Nasional,IB,1178092,4801775,Bahasa Inggris,C,"Kolam Renang, Aula","Futsal, Tari, Robotik",Kristen,Debat Nasional,Tidak Ada,021-1234567,"jakarta selatan jawa barat sma nasional c kolam renang, aula futsal, tari, robotik kristen 1178092 4801775",0.037011782,www.sdbintangtimur177.sch.id
SMP Pelita Ilmu 293,Jl. Raya Ujung,Cakung,Jakarta Timur,SMP,Internasional,IB,191796,14804279,Bahasa Inggris,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Hindu,Olimpiade Matematika,Bus Sekolah,0361-556677,"yogyakarta jawa barat tk internasional b lab komputer, perpustakaan, lapangan futsal, tari, robotik hindu 191796 14804279",0.050351682,www.smppelitailmu293.sch.id
SD Bintang Timur 68,Jl. Merdeka No.10,Taman Sari,Jakarta Barat,SD,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,A,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Islam,Lomba Tari Provinsi,Antar Jemput Pribadi,0361-556677,"jakarta selatan jawa barat smp negeri a ruang musik, ruang seni futsal, tari, robotik kristen 1104553 13707155",0.015067871,www.sdbintangtimur68.sch.id
SMA Nusantara 122,Jl. Gatot Subroto No.15,Pancoran,Jakarta Selatan,SMA,Nasional Plus,IB,1337868,5836401,Bahasa Indonesia,A,"Kolam Renang, Aula","Pencak Silat, KIR",Tidak Ada,Lomba Tari Provinsi,Antar Jemput Pribadi,031-8765432,"jakarta selatan jawa barat smp nasional plus a kolam renang, aula pencak silat, kir tidak ada 1337868 5836401",0.015095815,www.smanusantara122.sch.id
TK Ceria 127,Jl. Mawar No.2,Tanah Abang,Jakarta Pusat,TK,Nasional,Cambridge,1941869,17749793,Bahasa Indonesia,A,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Tidak Ada,Lomba Tari Provinsi,Tidak Ada,021-1234567,"yogyakarta dki jakarta smp nasional a ruang musik, ruang seni futsal, tari, robotik tidak ada 1941869 17749793",0.039809602,www.tkceria127.sch.id
SMA Nusantara 283,Jl. Raya Ujung,Pasar Rebo,Jakarta Timur,SMA,Nasional,IB,134131,7370577,Mandarin,B,"Kolam Renang, Aula","Futsal, Tari, Robotik",Budha,Olimpiade Matematika,Bus Sekolah,031-8765432,"bandung dki jakarta smp nasional b kolam renang, aula futsal, tari, robotik budha 134131 7370577",0.041531047,www.smanusantara283.sch.id
SMP Pelita Ilmu 105,Jl. Merdeka No.10,Tebet,Jakarta Selatan,SMP,Internasional,Cambridge,2033737,6606056,Mandarin,B,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Hindu,Juara 1 OSN,Bus Sekolah,0274-998877,"denpasar dki jakarta sma internasional b lab komputer, perpustakaan, lapangan futsal, tari, robotik hindu 2033737 6606056",0.112125906,www.smppelitailmu105.sch.id
TK Ceria 70,Jl. Merdeka No.10,Grogol Petamburan,Jakarta Barat,TK,Nasional,IB,1402154,16110049,Bahasa Inggris,C,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Olimpiade Matematika,Antar Jemput Pribadi,021-1234567,"jakarta selatan bali sd nasional c kolam renang, aula pencak silat, kir islam 1402154 16110049",0.045645388,www.tkceria70.sch.id
SD Bintang Timur 198,Jl. Sudirman No.25,Kramat Jati,Jakarta Timur,SD,Internasional,IB,202107,14167569,Bahasa Inggris,C,"Lab Komputer, Perpustakaan, Lapangan","Pencak Silat, KIR",Islam,Olimpiade Matematika,Tidak Ada,0361-556677,"surabaya bali sd internasional c lab komputer, perpustakaan, lapangan pencak silat, kir islam 202107 14167569",0.080270671,www.sdbintangtimur198.sch.id
TK Ceria 101,Jl. Merdeka No.10,Tambora,Jakarta Barat,TK,Internasional,IB,1084857,14833372,Bahasa Inggris,A,"Kolam Renang, Aula","Basket, Pramuka, Musik",Islam,Lomba Tari Provinsi,Bus Sekolah,0274-998877,"yogyakarta di yogyakarta tk internasional a kolam renang, aula basket, pramuka, musik islam 1084857 14833372",0.062778367,www.tkceria101.sch.id
SMA Nusantara 138,Jl. Merdeka No.10,Tebet,Jakarta Selatan,SMA,Negeri,Kurikulum Merdeka,0,0,Bahasa Indonesia,C,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Islam,Olimpiade Matematika,Antar Jemput Pribadi,031-8765432,"yogyakarta jawa barat sma negeri c ruang musik, ruang seni futsal, tari, robotik hindu 1054862 15994432",0.021008373,www.smanusantara138.sch.id
TK Ceria 132,Jl. Sudirman No.25,Cilincing,Jakarta Utara,TK,Internasional,IB,731912,13943837,Bahasa Inggris,C,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Tidak Ada,Lomba Tari Provinsi,Bus Sekolah,021-1234567,"denpasar di yogyakarta sd internasional c ruang musik, ruang seni futsal, tari, robotik tidak ada 731912 13943837",0,www.tkceria132.sch.id
Sekolah Harapan Bangsa 26,Jl. Gatot Subroto No.15,Kelapa Gading,Jakarta Utara,TK,Negeri,Kurikulum 2013,0,0,Bahasa Indonesia,B,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Islam,Lomba Tari Provinsi,Tidak Ada,031-8765432,"denpasar dki jakarta smp negeri b ruang musik, ruang seni basket, pramuka, musik kristen 948190 8313772",0.072322397,www.sekolahharapanbangsa26.sch.id
SMA Nusantara 287,Jl. Mawar No.2,Pademangan,Jakarta Utara,SMA,Nasional Plus,Kurikulum Merdeka,458821,12784363,Jepang,C,"Kolam Renang, Aula","Pencak Silat, KIR",Islam,Debat Nasional,Bus Sekolah,0274-998877,"jakarta selatan dki jakarta sma nasional plus c kolam renang, aula pencak silat, kir islam 458821 12784363",0.103896415,www.smanusantara287.sch.id
SMP Pelita Ilmu 272,Jl. Sudirman No.25,Koja,Jakarta Utara,SMP,Nasional,Kurikulum Merdeka,1220708,2830556,Mandarin,B,"Ruang Musik, Ruang Seni","Futsal, Tari, Robotik",Katolik,Juara 1 OSN,Tidak Ada,0361-556677,"jakarta selatan bali smp nasional b ruang musik, ruang seni futsal, tari, robotik katolik 1220708 2830556",0.015325266,www.smppelitailmu272.sch.id
TK Ceria 197,Jl. Raya Ujung,Pantai Indah Kapuk,Jakarta Utara,TK,Internasional,IB,1092164,6465009,Bahasa Inggris,C,"Kolam Renang, Aula","Basket, Pramuka, Musik",Budha,Olimpiade Matematika,Tidak Ada,022-7654321,"bandung bali tk internasional c kolam renang, aula basket, pramuka, musik budha 1092164 6465009",0.034381738,www.tkceria197.sch.id
SMA Nusantara 98,Jl. Sudirman No.25,Matraman,Jakarta Timur,SMA,Internasional,IB,144675,7968369,Bahasa Inggris,A,"Lab Komputer, Perpustakaan, Lapangan","Futsal, Tari, Robotik",Hindu,Olimpiade Matematika,Bus Sekolah,022-7654321,"yogyakarta jawa timur sd internasional a lab komputer, perpustakaan, lapangan futsal, tari, robotik hindu 144675 7968369",0.050332388,www.smanusantara98.sch.id
SMA Nusantara 72,Jl. Merdeka No.10,Gambir,Jakarta Pusat,SMA,Nasional,Kurikulum 2013,369463,2613431,Jepang,A,"Ruang Musik, Ruang Seni","Basket, Pramuka, Musik",Kristen,Olimpiade Matematika,Bus Sekolah,021-1234567,"bandung di yogyakarta sma nasional a ruang musik, ruang seni basket, pramuka, musik kristen 369463 2613431",0.053522611,www.smanusantara72.sch.id
